nsorder,Transect Block,Beach Section Initials,BEACH,TYPE,LAT,LONG,Y_PROJ,X_PROJ,COMMENT,ALTITUDE,length
26,OJ,SHS,NORTH,CLOSED,35,-121,3854912,717972,25-MAR-11 11:01:57,2,234.1708778
81,PAINT,SNO,SOUTH,CLOSED,35,-121,3839628,719086,05-MAR-11 12:22:01,1,135.3587825
92,PEBBLE,SSO,SOUTH,CLOSED,35,-121,3838422,718754,05-MAR-11 12:59:35,7,111
,PER Beach,PER,DANGERMOND,,34,-120,3815138,734708,,,
,PER Start,PER,DANGERMOND,,34,-120,3814941,734636,,,
45,PICKUPSTIX,SAN,NORTH,CLOSED,35,-121,3851788,717252,08-MAR-11 10:37:22,-3,157.8511957
72,PILE,SNO,SOUTH,CLOSED,35,-121,3841380,719512,05-MAR-11 11:25:50,-1,165.3874239
14,PILLOW,SHN,NORTH,CLOSED,35,-121,3857398,718416,16-MAR-11 10:19:07,3,128.996124
12,PIXIE,SHN,NORTH,CLOSED,35,-121,3857838,718485,16-MAR-11 10:06:43,5,285.5678553
52,POCKET1,PNO,PURISIMA,CLOSED,35,-121,3850211,716720,06-APR-11 12:27:46,5,871.8210826
53,POCKET2,PNO,PURISIMA,CLOSED,35,-121,3849377,716466,18-APR-11 11:52:23,3,390.2947604
,Point Sal Beach,PSA,OFF SITE,,35,-121,3864585,715045,24-MAY-12 9:20:14,-1,
83,PTRASH,SNO,SOUTH,CLOSED,35,-121,3839358,719017,05-MAR-11 12:29:13,5,119.8165264
55,PURISIMACOL,PCO,PURISIMA,CLOSED,,,3848600,716531,19-OCT-11 9:17:00,,1863.098223
,PURISIMACOL END,PCO,,,,,3846885,717243,,,
54,PURISIMANORTH,PNO,PURISIMA,CLOSED,,,3849000,716365,19-OCT-11 9:17:00,,426.9476544
22,RAINBOWSPIN,SHS,NORTH,CLOSED,35,-121,3855802,718134,25-MAR-11 11:27:26,2,176.2413118
99,ROCKBLUE,SSO,SOUTH,CLOSED,35,-121,3837587,718491,05-MAR-11 13:28:22,11,195.563289
20,ROLLINGROCK,SHN,NORTH,CLOSED,35,-121,3856186,718202,25-MAR-11 11:52:59,2,179.9027515
