survey_week,beach,species_type,total
2013-09-16,NORTH,Shorebird,138
2013-09-16,PURISIMA,Gull,50
2013-09-16,PURISIMA,Shorebird,1310
2013-09-16,SOUTH,Gull,152
2013-09-16,SOUTH,Shorebird,365
2013-09-23,NORTH,Gull,305
2013-09-23,NORTH,Shorebird,106
2013-09-23,PURISIMA,Gull,5
2013-09-23,PURISIMA,Shorebird,8
2013-09-23,SOUTH,Gull,227
2013-09-23,SOUTH,Shorebird,383
2013-09-30,SOUTH,Gull,3
2013-09-30,SOUTH,Shorebird,390
2013-10-21,NORTH,Gull,406
2013-10-21,NORTH,Shorebird,1103
2013-10-21,PURISIMA,Gull,30
2013-10-21,PURISIMA,Shorebird,4
2013-10-21,SOUTH,Gull,225
2013-10-21,SOUTH,Shorebird,1243
2013-11-11,NORTH,Gull,599
2013-11-11,PURISIMA,Shorebird,4
2013-11-11,SOUTH,Gull,10
2013-11-11,SOUTH,Shorebird,1319
2013-12-09,NORTH,Gull,854
2013-12-09,NORTH,Shorebird,370
2013-12-09,SOUTH,Gull,166
2013-12-09,SOUTH,Shorebird,542
2014-01-20,NORTH,Gull,324
2014-01-20,NORTH,Shorebird,688
2014-01-20,PURISIMA,Shorebird,8
2014-01-20,SOUTH,Gull,1
2014-01-20,SOUTH,Shorebird,500
2014-02-10,NORTH,Gull,35
2014-02-10,NORTH,Shorebird,114
2014-02-10,PURISIMA,Gull,5
2014-02-10,PURISIMA,Shorebird,1384
2014-02-10,SOUTH,Gull,24
2014-02-10,SOUTH,Shorebird,1134
2014-03-03,NORTH,Gull,20
2014-03-03,NORTH,Shorebird,176
2014-03-03,PURISIMA,Gull,3
2014-03-03,PURISIMA,Shorebird,14
2014-03-03,SOUTH,Gull,202
2014-03-03,SOUTH,Shorebird,394
2014-03-03,SOUTH,Tern,1
2014-03-10,NORTH,Shorebird,144
2014-03-10,PURISIMA,Shorebird,83
2014-03-10,SOUTH,Gull,106
2014-03-10,SOUTH,Shorebird,183
2014-03-17,NORTH,Shorebird,59
2014-03-17,PURISIMA,Shorebird,12
2014-03-17,SOUTH,Gull,394
2014-03-17,SOUTH,Shorebird,918
2014-03-24,NORTH,Gull,2
2014-03-24,NORTH,Shorebird,158
2014-03-24,PURISIMA,Shorebird,509
2014-03-24,SOUTH,Gull,80
2014-03-24,SOUTH,Shorebird,171
2014-03-31,NORTH,Shorebird,711
2014-03-31,PURISIMA,Shorebird,15
2014-03-31,SOUTH,Gull,35
2014-03-31,SOUTH,Shorebird,200
2014-04-07,NORTH,Shorebird,1521
2014-04-07,PURISIMA,Shorebird,19
2014-04-07,SOUTH,Gull,10
2014-04-07,SOUTH,Shorebird,2301
2014-04-07,SOUTH,Tern,2
2014-04-14,NORTH,Gull,1
2014-04-14,NORTH,Shorebird,1553
2014-04-14,PURISIMA,Gull,1
2014-04-14,PURISIMA,Shorebird,43
2014-04-14,SOUTH,Gull,31
2014-04-14,SOUTH,Shorebird,3717
2014-04-21,NORTH,Shorebird,108
2014-04-21,PURISIMA,Shorebird,17
2014-04-21,SOUTH,Gull,6
2014-04-21,SOUTH,Shorebird,3549
2014-04-21,SOUTH,Tern,3
2014-05-05,SOUTH,Gull,65
2014-05-05,SOUTH,Shorebird,887
2014-05-12,NORTH,Gull,25
2014-05-12,NORTH,Shorebird,586
2014-05-12,PURISIMA,Gull,1
2014-05-12,PURISIMA,Shorebird,1016
2014-05-12,SOUTH,Gull,86
2014-05-12,SOUTH,Shorebird,118
2014-05-19,NORTH,Gull,318
2014-05-19,NORTH,Shorebird,138
2014-05-19,PURISIMA,Shorebird,59
2014-05-19,SOUTH,Gull,90
2014-05-19,SOUTH,Shorebird,1744
2014-05-26,NORTH,Gull,513
2014-05-26,NORTH,Shorebird,90
2014-05-26,PURISIMA,Gull,17
2014-05-26,PURISIMA,Shorebird,17
2014-05-26,SOUTH,Gull,113
2014-05-26,SOUTH,Shorebird,141
2014-06-02,NORTH,Gull,720
2014-06-02,NORTH,Shorebird,83
2014-06-02,PURISIMA,Shorebird,7
2014-06-02,SOUTH,Gull,192
2014-06-02,SOUTH,Shorebird,135
2014-06-09,NORTH,Gull,377
2014-06-09,NORTH,Shorebird,71
2014-06-09,PURISIMA,Gull,10
2014-06-09,PURISIMA,Shorebird,9
2014-06-09,SOUTH,Gull,118
2014-06-09,SOUTH,Shorebird,146
2014-06-16,NORTH,Gull,838
2014-06-16,NORTH,Shorebird,87
2014-06-16,PURISIMA,Gull,30
2014-06-16,PURISIMA,Shorebird,9
2014-06-16,SOUTH,Gull,157
2014-06-16,SOUTH,Shorebird,145
2014-06-23,NORTH,Gull,827
2014-06-23,NORTH,Shorebird,34
2014-06-23,PURISIMA,Gull,1
2014-06-23,PURISIMA,Shorebird,11
2014-06-23,SOUTH,Gull,140
2014-06-23,SOUTH,Shorebird,141
2014-07-07,NORTH,Gull,44
2014-07-07,NORTH,Shorebird,40
2014-07-07,PURISIMA,Shorebird,21
2014-07-07,SOUTH,Gull,2
2014-07-07,SOUTH,Shorebird,194
2014-07-14,NORTH,Gull,203
2014-07-14,NORTH,Shorebird,41
2014-07-14,PURISIMA,Gull,1
2014-07-14,PURISIMA,Shorebird,21
2014-07-14,SOUTH,Shorebird,58
2014-07-21,SOUTH,Gull,1
2014-07-21,SOUTH,Shorebird,134
2014-08-04,NORTH,Gull,298
2014-08-04,NORTH,Shorebird,600
2014-08-04,PURISIMA,Gull,2
2014-08-04,PURISIMA,Shorebird,1112
2014-08-04,SOUTH,Gull,3
2014-08-04,SOUTH,Shorebird,486
2014-08-18,NORTH,Gull,674
2014-08-18,NORTH,Shorebird,733
2014-08-18,NORTH,Tern,2
2014-08-18,PURISIMA,Shorebird,1165
2014-08-18,SOUTH,Gull,7
2014-08-18,SOUTH,Shorebird,250
2014-09-01,NORTH,Gull,637
2014-09-01,NORTH,Shorebird,413
2014-09-01,NORTH,Tern,13
2014-09-01,PURISIMA,Gull,9
2014-09-01,PURISIMA,Shorebird,1
2014-09-01,SOUTH,Gull,50
2014-09-01,SOUTH,Shorebird,2014
2014-09-15,NORTH,Gull,919
2014-09-15,NORTH,Shorebird,468
2014-09-15,NORTH,Tern,60
2014-09-15,PURISIMA,Gull,3
2014-09-15,PURISIMA,Shorebird,36
2014-09-15,SOUTH,Gull,75
2014-09-15,SOUTH,Shorebird,726
2014-10-20,NORTH,Gull,1298
2014-10-20,NORTH,Shorebird,3337
2014-10-20,NORTH,Tern,8
2014-10-20,PURISIMA,Gull,4
2014-10-20,PURISIMA,Shorebird,112
2014-10-20,SOUTH,Gull,68
2014-10-20,SOUTH,Shorebird,899
2014-10-20,SOUTH,Tern,30
2014-11-24,NORTH,Gull,1278
2014-11-24,NORTH,Shorebird,3961
2014-11-24,NORTH,Tern,37
2014-11-24,PURISIMA,Shorebird,166
2014-11-24,SOUTH,Gull,1
2014-11-24,SOUTH,Shorebird,368
2014-12-15,SOUTH,Gull,101
2014-12-15,SOUTH,Shorebird,216
2014-12-22,NORTH,Gull,501
2014-12-22,NORTH,Shorebird,2867
2014-12-22,NORTH,Tern,12
2014-12-22,PURISIMA,Gull,1
2014-12-22,PURISIMA,Shorebird,53
2015-01-19,NORTH,Gull,5
2015-01-19,NORTH,Shorebird,2748
2015-01-19,PURISIMA,Shorebird,79
2015-01-19,SOUTH,Gull,89
2015-01-19,SOUTH,Shorebird,1381
2015-02-16,SOUTH,Gull,65
2015-02-16,SOUTH,Shorebird,1502
2015-03-09,NORTH,Shorebird,2251
2015-03-09,PURISIMA,Shorebird,259
2015-03-09,SOUTH,Gull,80
2015-03-09,SOUTH,Shorebird,1644
2015-03-16,NORTH,Shorebird,1203
2015-03-16,PURISIMA,Shorebird,44
2015-03-16,SOUTH,Gull,41
2015-03-16,SOUTH,Shorebird,2163
2015-03-23,NORTH,Shorebird,442
2015-03-23,PURISIMA,Shorebird,382
2015-03-23,SOUTH,Gull,10
2015-03-23,SOUTH,Shorebird,896
2015-03-23,SOUTH,Tern,1
2015-03-30,NORTH,Gull,3
2015-03-30,NORTH,Shorebird,1152
2015-03-30,PURISIMA,Gull,2
2015-03-30,PURISIMA,Shorebird,6
2015-03-30,SOUTH,Gull,32
2015-03-30,SOUTH,Shorebird,211
2015-04-06,NORTH,Shorebird,244
2015-04-06,PURISIMA,Shorebird,14
2015-04-06,SOUTH,Shorebird,253
2015-04-13,NORTH,Gull,3
2015-04-13,NORTH,Shorebird,1770
2015-04-13,PURISIMA,Shorebird,250
2015-04-13,SOUTH,Shorebird,349
2015-04-20,NORTH,Shorebird,1737
2015-04-20,PURISIMA,Gull,1
2015-04-20,PURISIMA,Shorebird,525
2015-04-20,SOUTH,Shorebird,466
2015-04-27,NORTH,Gull,47
2015-04-27,NORTH,Shorebird,1535
2015-04-27,PURISIMA,Gull,49
2015-04-27,PURISIMA,Shorebird,58
